,repository_name,Language
0,.github,
1,ads-advanced-tools-docs,
2,alexa-coho,JavaScript
3,alexa-skills-kit-js,
4,amazon-ads-advertiser-audience-normalization-sdk-py,Python
5,amazon-advertising-api-php-sdk,PHP
6,amazon-codeguru-profiler-for-spark,Java
7,amazon-frustration-free-setup-certification-tool,Python
8,amazon-hub-counter-api-docs,CSS
9,amazon-hub-counter-api-samples,Java
10,amazon-hub-counter-sdk-java,Java
11,amazon-hub-support,PowerShell
12,amazon-instant-access-sdk-java,Java
13,amazon-instant-access-sdk-net,C#
14,amazon-instant-access-sdk-php,PHP
15,amazon-instant-access-sdk-ruby,Ruby
16,amazon-launcher-integration-cordova-plugin,JavaScript
17,amazon-marketing-stream-examples,Python
18,amazon-mcf-plugin-for-magento-1,PHP
19,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
20,amazon-pay-api-sdk-dotnet,C#
21,amazon-pay-api-sdk-java,Java
22,amazon-pay-api-sdk-nodejs,JavaScript
23,amazon-pay-api-sdk-php,PHP
24,amazon-pay-sdk-csharp,C#
25,amazon-pay-sdk-java,Java
26,amazon-pay-sdk-php,PHP
27,amazon-pay-sdk-python,Python
28,amazon-pay-sdk-ruby,Ruby
29,amazon-pay-sdk-samples,PHP
30,amazon-payment-files-tools,Kotlin
31,amazon-payments-magento-2-plugin,PHP
32,amazon-ray,Python
33,amazon-s3-gst-plugin,C
34,amazon-sidewalk-android-samples,Kotlin
35,amazon-sidewalk-ios-samples,Swift
36,amazon-succinct-doc-representation,Python
37,amazon-template-library,C++
38,amazon-weak-ner-needle,Python
39,amigitenough,Go
40,amzn-drivers,C
41,amzn-ec2-ena-utilities,Python
42,auction-gym,Jupyter Notebook
43,autotrail,Python
44,aws-apigateway-client-lib,
45,aws-sigv4-signing-samples,Java
46,awsssmchaosrunner,Kotlin
47,basis-point-sets,Python
48,buy-with-prime-oauth-handler-ec2,JavaScript
49,buy-with-prime-saas-integration,TypeScript
50,computer-vision-basics-in-microsoft-excel,
51,confident-sinkhorn-allocation,Jupyter Notebook
52,convolutional-handwriting-gan,Python
53,cosearcher,Python
54,credence-to-causal-estimation,Python
55,data-jack-knife,Java
56,debiased-balanced-interleaving,Jupyter Notebook
57,differential-privacy-bayesian-optimization,Python
58,distance-assistant,Python
59,drs-sample-android-app,Java
60,drs-sample-ios-app,Objective-C
61,emukit-playground,JavaScript
62,eslint-plugin-no-date-parsing,TypeScript
63,exoplayer-amazon-port,Java
64,explainable-text-vqa,
65,faithful-data2text-cycle-training,Python
66,fashion-attribute-disentanglement,Python
67,fire-app-builder,Java
68,firetv-sample-touch-app,Java
69,ftv-livetv-sample-tv-app,Java
70,gameon-sample-game-unity,C#
71,gameon-starter-kit-unity,C#
72,git-commit-template,JavaScript
73,glad,JavaScript
74,golang-gitoperations,Go
75,halo-third-party-sdk-for-java,Java
76,halo-third-party-sdk-for-node-js,TypeScript
77,halo-third-party-sdk-for-python,Python
78,hawktracer,C++
79,image-misspell-coling2020,
80,image-to-recipe-transformers,Python
81,ion-object-mapper-dotnet,C#
82,jekyll-doc-project,HTML
83,kqr,
84,login-with-amazon-oscommerce,PHP
85,login-with-amazon-wordpress,PHP
86,merlin-on-demand-callgraph,Java
87,metalearn-leap,Python
88,milan,Scala
89,multiconer-baseline,Python
90,multilingual-keyphrase-generation,Python
91,multimodal-affinities,Python
92,MXFusion,Python
93,nimbus-jose-jwt_aws-kms-extension,Java
94,openapi-swift-code-generate,Swift
95,orthogonal-additive-gaussian-processes,Python
96,oss-attribution-builder,TypeScript
97,oss-contribution-tracker,TypeScript
98,oss-dashboard,Ruby
99,pecos,Python
100,pretraining-or-self-training,Python
101,rdma-core,C
102,refuel-open-domain-qa,Python
103,rete-thewebconf-2022,Python
104,rheoceros,Python
105,robotiq-gripper-interface,C++
106,sample-fire-tv-app-video-skill,Java
107,selling-partner-api-docs,HTML
108,selling-partner-api-models,Java
109,selling-partner-api-samples,Java
110,seqzero,Python
111,service-model-swift-code-generate,Swift
112,sketch-constructor,JavaScript
113,smoke-aws,Swift
114,smoke-aws-credentials,Swift
115,smoke-aws-generate,Swift
116,smoke-aws-support,Swift
117,smoke-dynamodb,Swift
118,smoke-framework,Swift
119,smoke-framework-application-generate,Swift
120,smoke-framework-examples,Swift
121,smoke-http,Swift
122,sparse-vqvae,Python
123,ss-aga-kgc,Python
124,sto-transformer,Python
125,style-dictionary,JavaScript
126,supply-chain-simulation-environment,Python
127,tiny-attribution-generator,TypeScript
128,trans-encoder,Python
129,user-satisfaction-modeling,Python
130,workspace-resolver,JavaScript
131,xfer,Python
132,zeek-plugin-bacnet,Zeek
133,zeek-plugin-enip,Zeek
134,zeek-plugin-profinet,Zeek
135,zeek-plugin-s7comm,Zeek
136,zeek-plugin-tds,Zeek
137,zero-shot-rlhr,Python
